id,text
1924457561039765909,"@saemaemunah @IndiHome Mohon kesediaan Bpk/ibu untuk menghubungi layanan WhatsApp kami untuk kami bantu.
pengecekan lebih lanjut
               👇🏼
https://t.co/dt0xoUL1YD
       Admin-lisa"
1924457547257589967,"@IniMinNeo Bayar Tagihan Indihome 
#GiveawayIndiHomeBorneo #IndiHomeBorneo
Yuk ikutan
@panggil_iam1005 
@SantyCiu 
@panggil_iam1005 
Sukses selalu @IniMinNeo 
Semoga beruntung"
1924457507986006333,"@froufroumwaa @IndiHome Mohon kesediaan Bpk/ibu untuk menghubungi layanan WhatsApp kami untuk kami bantu.
pengecekan lebih lanjut
               👇🏼
https://t.co/dt0xoUL1YD
       Admin-lisa"
1924457427778560026,.@IndiHome parah bgt lu muka key jadi buriq https://t.co/aeLzNLeFdk
1924457344886587660,"40mb doang ngirim nya lama banget anjr, INDIHOME LU KENAPA BOSOK BGT SIH INI JUGA IM3 JELEK BGT ANJR DI DAERAH GW SKRG... PADAHL DULU LANCAR LANCAR AJA 😭"
1924456932452229396,"2 hari indihome jelek banget ya allah please saranin gue wifi 
Yg kagak lemot anjirr"
1924456816614027641,@IndiHome cek dm pleaseeeee
1924456697059532822,"@IniMinNeo ""BAYAR TAGIHAN INDIHOME""
#GiveawayIndiHomeBorneo 
#IndiHomeBorneo 

Yuk ikutan...
@RikaRifanti84 
@FannyAfrizal86 
@Murdhany88 
@Andayany82 

Sukses terus @IniMinNeo 
Semoga saya beruntung! 

#IndiHome4u
#Tsel4u
#PamasukaBergerakBerdampak"
1924456055947600074,"@IndiHome @IndiHomeCare ini sinyalnya suka drop soalnya, tolong di cek dong apakah udh nyampe FUP atau gmn...."
1924455774643781998,"@hp1290895558 @IndiHome @IndiHomeCare Mohon kesediaan Bpk/ibu untuk menghubungi layanan WhatsApp kami untuk kami bantu.
pengecekan lebih lanjut
               👇🏼
https://t.co/dt0xoUL1YD
       Admin-lisa"
1924455758298554624,"@WhyIhaveto @IndiHome Mohon kesediaan Bpk/ibu untuk menghubungi layanan WhatsApp kami untuk kami bantu.
pengecekan lebih lanjut
               👇🏼
https://t.co/dt0xoUL1YD
       Admin-lisa"
1924455735183778228,"@byeppo @IndiHome Mohon kesediaan Bpk/ibu untuk menghubungi layanan WhatsApp kami untuk kami bantu.
pengecekan lebih lanjut
               👇🏼
https://t.co/dt0xoUL1YD
       Admin-lisa"
1924455543789507023,"@IndiHome @IndiHomeCare dah ku dm min, tapi blm dibales"
1924454981777961262,"@IndiHome Saya udh bales ka, tolong bales lagi ka"
1924454811954733284,@IndiHome halo tolong cek dm
1924454003896942647,"@IniMinNeo Bayar Tagihan IndiHome
#GiveawayIndiHomeBorneo
#IndiHomeBorneo

@SayWinNow 
@meili76moruk 
@chocoburritos"
1924453934133133512,"@IniMinNeo Bayar Tagihan IndiHome
#GiveawayIndiHomeBorneo
#IndiHomeBorneo

@TherHOKI 
@FannyAfrizal86 
@_annas_k"
1924453758450213255,"@quesierrra @IndiHome Mohon kesediaan Bpk/ibu untuk menghubungi layanan WhatsApp kami untuk kami bantu.
pengecekan lebih lanjut
               👇🏼
https://t.co/dt0xoUL1YD
       Admin-lisa"
1924453662832947284,@IndiHome min cek dm plis
1924453002141966456,"@IndiHome gua mo berhenti langganan aja lah, capek bayar mahal² tapi nonton yt buffering mulu, tai"
1924452955429949548,indihome lagi kenapa sih kok error
1924452905584873960,indihome ini udh 2 hari jaringannya jelek bgttttt sihhhhh elahhh😭😭😭😭 https://t.co/zXlgXWCzp8
1924452754811924784,"@404_boyfindlv @IndiHome @IndiHomeCare Mohon kesediaan Bpk/ibu untuk menghubungi layanan WhatsApp kami untuk kami bantu.
pengecekan lebih lanjut
               👇🏼
https://t.co/dt0xoUL1YD
       Admin-lisa"
1924452661069541464,@IndiHome @IndiHomeCare udh saya dm
1924452639208874007,"@IniMinNeo Bayar Tagihan IndiHome
#GiveawayIndiHomeBorneo 

@kartiika26 @Callmeranti_99 @squashdel"
1924452350581727514,"@marleysyauqi @pmtkemkomdigi @IndiHome Mohon kesediaan Bpk/ibu untuk menghubungi layanan WhatsApp kami untuk kami bantu.
pengecekan lebih lanjut
               👇🏼
https://t.co/dt0xoUL1YD
       Admin-lisa"
1924452291408756766,Indihome lg jelekkkbgt gasih akhir-akhir ini?!?? Tbtb suka buffering
1924452009207586877,Ini jaringan Indihome jahat banget yaallah 😭😭
1924451999736848705,"@pmtkemkomdigi @IndiHome Hi min, terimakasih atas perhatiannya, silahkan cek DM"
1924451902370300205,"Wifi klo jam sgini psti kya tai, ga telkomsel ga indihome sama sama pantek sinyalnya makin kesini asu"
1924451801019162714,@IndiHomeCare min kalo remot indihome tv rusak bisa di benerin teknisi atau ganti baru ya??
1924451748191580633,"@lailyindira @IndiHome @IndiHomeCare Mohon kesediaan Bpk/ibu untuk menghubungi layanan WhatsApp kami untuk kami bantu.
pengecekan lebih lanjut
               👇🏼
https://t.co/dt0xoUL1YD
       Admin-lisa"
